T (keV), RN
0.0010108429524419166, 0.025541796678244966
0.0011087873711224385, 0.04437074396059404
0.001203997853747219, 0.0679182665995075
0.0013761090502916265, 0.09616343191318166
0.001556827579181761, 0.12441208600715625
0.0017614205942303215, 0.15580413115197356
0.0019727908176098235, 0.19034305612793356
0.002256159685448057, 0.24216365432292575
0.0025814752072060273, 0.31284459882297266
0.002862767016042941, 0.3599605767826032
0.003174582422284212, 0.40550485921681234
0.003344414282377055, 0.4447798034508399
0.003824340340416121, 0.49188531506956845
0.004199446986651069, 0.5531500415382905
0.00480322832593497, 0.6096857263095464
0.005379615048970451, 0.6442246512855065
0.006276133484318374, 0.6756062300894218
0.00770819363380377, 0.7179722336697826
0.008995300894376904, 0.7603556811516464
0.011623420581642986, 0.7901306766271344
0.016627907984421472, 0.8010104379945618
0.019586480249982097, 0.8088130951368584
0.02329354327800658, 0.7914651350921148
0.02686018963745672, 0.7662691637611669
0.031613966076366934, 0.742637910395039
0.03721206570659936, 0.7221500480797536
0.04424795058622876, 0.6985153059333251
0.0531483373587224, 0.6701619884303323
0.07145375741963045, 0.6512004674965602
0.08763799287370193, 0.6401288232125998
0.10748794846190973, 0.6290571789286392
0.13730861846123243, 0.6101131018963701
0.17011879195879337, 0.5943228822558453
0.21513972853487953, 0.5816690761055618
0.2982338804958652, 0.5611253933054667
0.3810196157230852, 0.5468964028494612
0.4818735680320578, 0.535814292224599
0.603225097129515, 0.5247356703800371
0.7474270002990809, 0.5120888417903547
0.7474270002990809, 0.5120888417903547
0.9549410913964546, 0.49943154685977054
1.207612122220766, 0.48520604518406585
1.4217376997153615, 0.4725766604958864
1.7438305222486055, 0.4630767117373471
2.011487530627531, 0.450454304609769
2.4667910515491074, 0.4346675737495448
3.056235787725, 0.41887735410901994

