T (keV), RN
0.0010424094298857097, 0.6191819616685456
0.001144523138813096, 0.6559007891770011
0.0012308118170666089, 0.6862376550169109
0.0013374215605690535, 0.7197655016910935
0.0014382533697441236, 0.7485023675310034
0.0015307099224188007, 0.7724482525366403
0.0016632960659241824, 0.804376099210823
0.001845293232302959, 0.8442859075535514
0.0020901640959207026, 0.8889776775648253
0.002519723432974415, 0.9048153325817362
0.003006185554276124, 0.9174620067643743
0.0037776925226671223, 0.9364635851183765
0.004747198913092869, 0.9522651634723788
0.006218513535794708, 0.9648306651634724
0.007978414084736549, 0.9694142051860203
0.010894418608035769, 0.9771436302142051
0.01313338120622932, 0.9769812852311162
0.017748205688068747, 0.9815197294250282
0.023984593167568152, 0.9812581736189403
0.028913778373969506, 0.9842958286358512
0.034855983339732916, 0.9761334836527622
0.04425860745165321, 0.9759260428410372
0.056784229065438396, 0.9757095828635851
0.07062020502413213, 0.9707201803833145
0.08252256473296606, 0.9689848928974071
0.09347332927291593, 0.9608766629086809
0.11151945030674656, 0.9591233370913191
0.13167518763271868, 0.9493790304396843
0.14608303210641618, 0.9412888387824128
0.17070392912722698, 0.9363535512965051
0.1953745967724219, 0.9298363021420519
0.23552693812709916, 0.9072739571589628
0.28099817217033457, 0.8879206313416009
0.31828669840011103, 0.8734124013528749
0.3567992236943213, 0.854113190529876
0.3999717445585407, 0.8428139797068772
0.4577769165186903, 0.8266967305524239
0.5634372384315179, 0.8073163472378805
0.6652714292050513, 0.7975720405862459
0.7457689268182489, 0.7878728297632469
0.917901207928982, 0.7732924464487035
1.0726046720468019, 0.761957158962796
1.2930406429566295, 0.747394813979707
1.5914897032984254, 0.7328144306651635
1.9999293601488526, 0.7150160090191658
2.4361090802662453, 0.7004446448703496
2.998391843654963, 0.6858642615558063
3.577266508100307, 0.6745109357384442
4.223812414522385, 0.6647666290868096
4.834251042426871, 0.6518493799323564

